y\x	    0         	 0.045	          0.12	          0.21	          0.4	          0.6	          0.8	           1.1	          1.35	           1.7	           2.3																																																																																																																																																																																																
0	0.000E+00	2.121E-01	3.464E-01	4.583E-01	6.325E-01	7.746E-01	8.944E-01	1.049E+00	1.162E+00	1.304E+00	1.517E+00																																																																																																																																																																																																
0.05	2.236E-01	4.357E-01	5.700E-01	6.819E-01	8.561E-01	9.982E-01	1.118E+00	1.272E+00	1.386E+00	1.527E+00	1.740E+00																																																																																																																																																																																																
0.1	3.162E-01	5.284E-01	6.626E-01	7.745E-01	9.487E-01	1.091E+00	1.211E+00	1.365E+00	1.478E+00	1.620E+00	1.833E+00																																																																																																																																																																																																
0.2	4.472E-01	6.593E-01	7.936E-01	9.055E-01	1.080E+00	1.222E+00	1.342E+00	1.496E+00	1.609E+00	1.751E+00	1.964E+00																																																																																																																																																																																																
0.4	6.325E-01	8.446E-01	9.789E-01	1.091E+00	1.265E+00	1.407E+00	1.527E+00	1.681E+00	1.794E+00	1.936E+00	2.149E+00																																																																																																																																																																																																
0.8	8.944E-01	1.107E+00	1.241E+00	1.353E+00	1.527E+00	1.669E+00	1.789E+00	1.943E+00	2.056E+00	2.198E+00	2.411E+00																																																																																																																																																																																																
1.2	1.095E+00	1.308E+00	1.442E+00	1.554E+00	1.728E+00	1.870E+00	1.990E+00	2.144E+00	2.257E+00	2.399E+00	2.612E+00																																																																																																																																																																																																
1.6	1.265E+00	1.477E+00	1.611E+00	1.723E+00	1.897E+00	2.040E+00	2.159E+00	2.314E+00	2.427E+00	2.569E+00	2.781E+00																																																																																																																																																																																																
2.1	1.449E+00	1.661E+00	1.796E+00	1.907E+00	2.082E+00	2.224E+00	2.344E+00	2.498E+00	2.611E+00	2.753E+00	2.966E+00																																																																																																																																																																																																
2.5	1.581E+00	1.793E+00	1.928E+00	2.039E+00	2.214E+00	2.356E+00	2.476E+00	2.630E+00	2.743E+00	2.885E+00	3.098E+00																																																																																																																																																																																																
3	1.732E+00	1.944E+00	2.078E+00	2.190E+00	2.365E+00	2.507E+00	2.626E+00	2.781E+00	2.894E+00	3.036E+00	3.249E+00																																																																																																																																																																																																
3.5	1.871E+00	2.083E+00	2.217E+00	2.329E+00	2.503E+00	2.645E+00	2.765E+00	2.920E+00	3.033E+00	3.175E+00	3.387E+00																																																																																																																																																																																																
4.1	2.025E+00	2.237E+00	2.371E+00	2.483E+00	2.657E+00	2.799E+00	2.919E+00	3.074E+00	3.187E+00	3.329E+00	3.541E+00																																																																																																																																																																																																
5	2.236E+00	2.448E+00	2.582E+00	2.694E+00	2.869E+00	3.011E+00	3.130E+00	3.285E+00	3.398E+00	3.540E+00	3.753E+00																																																																																																																																																																																																
6.2	2.490E+00	2.702E+00	2.836E+00	2.948E+00	3.122E+00	3.265E+00	3.384E+00	3.539E+00	3.652E+00	3.794E+00	4.007E+00																																																																																																																																																																																																
7.5	2.739E+00	2.951E+00	3.085E+00	3.197E+00	3.371E+00	3.513E+00	3.633E+00	3.787E+00	3.901E+00	4.042E+00	4.255E+00																																																																																																																																																																																																
9	3.000E+00	3.212E+00	3.346E+00	3.458E+00	3.632E+00	3.775E+00	3.894E+00	4.049E+00	4.162E+00	4.304E+00	4.517E+00																																																																																																																																																																																																
11	3.317E+00	3.529E+00	3.663E+00	3.775E+00	3.949E+00	4.091E+00	4.211E+00	4.365E+00	4.479E+00	4.620E+00	4.833E+00																																																																																																																																																																																																
13	3.606E+00	3.818E+00	3.952E+00	4.064E+00	4.238E+00	4.380E+00	4.500E+00	4.654E+00	4.767E+00	4.909E+00	5.122E+00																																																																																																																																																																																																
15	3.873E+00	4.085E+00	4.219E+00	4.331E+00	4.505E+00	4.648E+00	4.767E+00	4.922E+00	5.035E+00	5.177E+00	5.390E+00																																																																																																																																																																																																
17	4.123E+00	4.335E+00	4.470E+00	4.581E+00	4.756E+00	4.898E+00	5.018E+00	5.172E+00	5.285E+00	5.427E+00	5.640E+00																																																																																																																																																																																																
20	4.472E+00	4.684E+00	4.819E+00	4.930E+00	5.105E+00	5.247E+00	5.367E+00	5.521E+00	5.634E+00	5.776E+00	5.989E+00																																																																																																																																																																																																
23	4.796E+00	5.008E+00	5.142E+00	5.254E+00	5.428E+00	5.570E+00	5.690E+00	5.845E+00	5.958E+00	6.100E+00	6.312E+00																																																																																																																																																																																																
26	5.099E+00	5.311E+00	5.445E+00	5.557E+00	5.731E+00	5.874E+00	5.993E+00	6.148E+00	6.261E+00	6.403E+00	6.616E+00																																																																																																																																																																																																
30	5.477E+00	5.689E+00	5.824E+00	5.935E+00	6.110E+00	6.252E+00	6.372E+00	6.526E+00	6.639E+00	6.781E+00	6.994E+00																																																																																																																																																																																																
35	5.916E+00	6.128E+00	6.262E+00	6.374E+00	6.549E+00	6.691E+00	6.811E+00	6.965E+00	7.078E+00	7.220E+00	7.433E+00																																																																																																																																																																																																
40	6.325E+00	6.537E+00	6.671E+00	6.783E+00	6.957E+00	7.099E+00	7.219E+00	7.373E+00	7.486E+00	7.628E+00	7.841E+00																																																																																																																																																																																																
																																																																																																																																																																																																											
																																																																																																																																																																																																											
																																																																																																																																																																																																											
